,address,name,online_order,book_table,rate,votes,rest_type,dish_liked,cost
11,"6th Block, 3rd Stage, Banashankari, Bangalore",The Coffee Shack,1,1,4.2,164,11,"Coffee, Spaghetti, Pancakes, Nachos, Pasta, Sandwich, Garlic Bread",500.0
12,"111, Sapphire Toys Building, 100 Feet Ring Road, Banashankari, Bangalore",Caf-Eleven,0,0,4.0,424,11,"Sandwich, Omelette, Ice Tea, Virgin Mojito, Hot Chocolate, Pasta Arrabiata, Hazelnut Cappuccino",450.0
13,"1112, Next to KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",San Churro Cafe,1,0,3.8,918,14,"Churros, Cannelloni, Minestrone Soup, Hot Chocolate, Pink Sauce Pasta, Salsa, Veg Supreme Pizza",800.0
14,"2303, 21st Cross, K R Road, 2nd Stage, Banashankari, Bangalore",Cafe Vivacity,1,0,3.8,90,11,"Garlic Bread, Burgers, Sandwiches, Pizza, Hot Chocolate Fudge, Waffles, Potato Wedges",650.0
15,"241, 4th Floor, 100 Feet Ring Road, Opposite Kamakya Theatre, Banashankari, Bangalore",Catch-up-ino,1,0,3.9,133,11,"Momos, Mushroom Bruschettas, Jalapeno Cheeseballs, Pasta, Red Velvet Shake, Red Velvet Milkshake, Maggi",800.0
16,"405, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",Kirthi's Biryani,1,0,3.8,144,11,"Pasta, Gelato, Garlic Bread, Mojito, Nachos, Paneer Pizza, Mocktails",700.0
17,"504, CJ Venkata Das Road, Padmanabhangar, 2nd Stage, Banashankari, Bangalore",T3H Cafe,0,0,3.9,93,11,"Cheese Maggi, Peri Peri Fries, Pasta Arrabiata",300.0
18,"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",The Vintage Cafe,1,0,3.0,62,11,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",400.0
19,"3353, 2nd Cross, Opposite Auden School, Hoskerehalli Cross, 3rd Stage, Banashankari, Bangalore",Woodee Pizza,1,0,3.7,180,11,"Pizza, Garlic Bread",500.0
20,"224/Y, 4th Phase, 7th Block, 100 Feet Ring Road, Near Kamakya Theatre, Banashankari, Bangalore",My Tea House,1,0,3.6,62,56,"Pasta, Iced Tea",600.0
21,"112, Bull Temple Road,next to more Basavanagudi, Bangalore",Srinathji's Cafe,0,0,3.8,148,19,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",550.0
22,"30, Surveyor Street, DVG Road, Basavanagudi, Bangalore",Redberrys,1,0,4.0,219,11,"Pizza, Fries, Anjeer Ice Cream, Sandwiches, Gelato, Burgers, Kesar Badam",600.0
23,"2/1, 7th Main, Dwarakangar, Hosakeregalli, Banashankari, Bangalore",Foodiction,1,0,2.8,506,53,"Burgers, Lassi, Chicken Grill, Naan, Momos, Chicken Burger, Biryani",500.0
24,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Ovenstory Pizza,1,0,3.9,172,25,"Paneer Tikka, Garlic Bread, Thin Crust Pizza, Falafel, Veggie Pizza",750.0
25,"80, BDA Complex, 2nd Stage, Banashankari, Bangalore",Faasos,1,0,4.2,415,53,"Rolls, Veggie Wrap, Chocolate Fantasy, Rice Bowls, Chicken Rice, Paneer Makhanwala, Chicken Tikka Wrap",500.0
26,"101, Ground Floor, Manjunatha Complex, 22nd Main Road, 2nd Stage, Banashankari, Bangalore",Behrouz Biryani,1,0,3.9,230,25,"Raita, Gulab Jamun, Paneer Biryani, Vegetable Biryani, Gosht Dum Biryani, Chicken Biryani, Murgh Biryani",650.0
27,"8, 2nd Floor, 1st Main, Arush Trapeze, Mount Joy Road, Behind BMS College of Engineering, Hanumanthnagar, Banashankari, Bangalore",Szechuan Dragon,1,0,4.2,1647,17,"Noodles, Momos, Veg Manchow Soup, Kung Pao Chicken, Chicken Lollipop, Chop Suey, Dragon Chicken",600.0
28,"4, Opposite NMKRV College, 21st C Cross Road, 3rd Block, Jayanagar, Bangalore",Empire Restaurant,1,0,4.4,4884,17,"Chicken Tikka Masala, Mutton Keema Dosa, Mutton Biryani, Raan Biryani, Brain Fry, Chicken Grill, Ghee Rice",750.0
29,"39, 3rd Main,4th Cross, Hanumanth Nagar, Near, Basavanagudi, Bangalore",Chaatimes,1,0,3.8,133,53,"Dabeli, Faluda, Masala Poori, Sandwiches, Tokri Chaat, Pav Bhaji, Dahipuri",200.0
30,"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",McDonald's,1,0,3.9,286,53,"Burgers, Fries, Hot Chocolate",500.0
31,"645, 1st Floor, 24th Cross, 24th Main, 2nd Stage, Banashankari, Bangalore",Domino's Pizza,1,0,3.9,540,53,"Pane Pizza, Lava Cake, Pasta, Stuffed Garlic Bread, Chocolava Cake, Tacos",800.0
32,"2469, 3rd Floor, 24th Cross, Opposite BDA Complex, 2nd Stage, Banashankari, Bangalore",Onesta,1,1,4.6,2556,19,"Farmhouse Pizza, Chocolate Banana, Virgin Mojito, Pasta, Paneer Tikka, Lime Soda, Prawn Pizza",600.0
33,"2nd Stage, Banashankari, Bangalore",Hotboxit,0,0,3.8,36,25,Prompt Service,400.0
34,"1750, 14th Main, Police Station Road, Kumaraswamy Layout, Bangalore",Kitchen Garden,1,0,3.6,244,53,Biryani,300.0
35,"1621, 1st Floor, 50 Feet Main Road, Kumaraswamy Layout, Bangalore",Recipe,1,0,4.0,804,17,"Butter Chicken, Noodles, Thali, Biryani",450.0
36,"179, 1st Floor, Jawarlalnehru Road, BEML Layout, Rajarajeshwari Nagar, Bangalore",Beijing Bites,1,0,3.7,679,17,"Momos, Dragon Chicken, Hakka Noodles, Chowmein, Chop Suey, Chilli Garlic Noodles, Garlic Rice",850.0
37,"1607, Sagar Hospital Road, Near Dayanandasagar College, Kumaraswamy Layout, Bangalore",Tasty Bytes,1,0,3.1,245,53,"Paratha, Pasta",300.0
38,"808/6-1, 24th A Cross, K.R Road, 2nd Stage, Banashankari, Bangalore",Corner House Ice Cream,0,0,4.3,345,26,"Hot Chocolate Fudge, Vanilla Ice Cream, Fudge Cake, Chocolate Mousse",400.0
39,"178, Next To Old KEB Office, 8th F Main Road, 24b Cross, 3rd Block, Jayanagar, Bangalore",Biryanis And More,1,0,4.0,618,17,"Prawn Biryani, Dragon Chicken, Chicken Boneless Biryani, Afghani Biryani, Mughlai Biryani, Paneer Tikka Biryani, Gongura Biryani",750.0
40,"78, 21st Main Road, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Roving Feast,0,0,4.0,1047,53,"Pasta, Momos, Rolls, Chicken Roll, Chilli Chicken, Paneer Roll, Spaghetti",450.0
41,"10, Stavyah Arcade, 3rd Floor 9th Main, Yarab Nagar Main Road, Banashankari, Bangalore",FreshMenu,1,0,3.9,627,25,"Salads, Sandwiches, Salad, Thai Rice, Pasta, Noodles, Pizza",450.0
42,"2466, Bhaskar Grand Tower, 24th Cross, Opposite BDA Complex, Banashankari, Bangalore",Wamama,1,1,4.2,354,17,"Sushi, Noodles, Wine, Khau Suey, Mocktails, Yakisoba, Spring Roll",800.0
43,"942, 3rd Floor, 21st Main Road, 2nd Stage, Banashankari, Bangalore",Peppy Peppers,0,0,4.2,244,17,"Pasta, Pepper Pizza, Paneer Pizza, Peppy Paneer, Nachos, Supreme Pizza, Manchow Soup",800.0
44,"1828, 50 Feet Road, 2nd Stage, Kumaraswamy Layout, Bangalore",Goa 0 Km,1,1,3.6,163,17,"Sea Food, Crab Meat, Crab Soup, Fish Curry, Chicken Cafreal, Butter Naan, Butter Chicken",800.0
45,"296, Ram Towers, 100 Feet Ring Road, Banashankari, Bangalore",1947,0,1,4.0,808,17,"Salads, Panneer Butter Masala, Rabri, Gajar Ka Halwa, Manchow Soup, Aam Panna, Tomato Basil Soup",850.0
46,"31, Opposite Vijaya College, RV Road, Basavanagudi, Bangalore",Kabab Magic,1,0,4.1,1720,53,"Grape Juice, Chicken Grill, Chicken Tikka Roll, Shawarma Roll, Chicken Shawarama, Biryani Combo, Rolls",400.0
47,"10, 30th Main, Deve Gowda Petrol Bunk Road, 3rd Stage, Banashankari, Bangalore",Gustoes Beer House,0,0,4.1,868,48,"Beer, Wedges, Pizza, Nachos, Salads, Papaya Salad, Buffalo Wings",1200.0
48,"476, 2nd Floor, 9th Cross, Avalahalli BDA Park, BSK 3rd Stage, Banashankari, Bangalore",The Biryani Cafe,0,0,4.1,520,53,"Vegetable Biryani, Ginger Chicken, Chicken Biryani, Donne Biryani, Chicken Kebab, Egg Bhurji, Dum Biryani",300.0
49,"Shop 33 & 30, 21st Main, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Rolls On Wheels,0,0,3.6,299,53,"Rolls, Momos, Fries, Veggie Roll, Chicken Kebab Roll, Paneer Roll, Cheese Roll",300.0
50,"49/1, Subbaraoshetty Road, Netkallappa Circle, Basavanagudi, Bangalore",Sri Guru Kottureshwara Davangere Benne Dosa,1,0,4.1,558,53,"Benne Dosa, Mirchi Bajji, Filter Coffee, Poha, Tea, Butter Dosa, Crispy Dosa",150.0
51,"727, 23rd Cross, KR Road, 2nd Stage, Banashankari, Bangalore",Upahar Sagar,0,0,3.8,39,53,Masala Dosa,350.0
52,"2477, 24th Cross Road, Siddanna Layout, Stage 2, Banashankari, Bangalore",Frozen Bottle,1,0,4.2,146,7,"Berryblast, Waffles, Cheesecake, Salted Caramel",400.0
53,"52, 1st Floor, 33rd Cross, 4th Block, Jayanagar, Bangalore",Meghana Foods,1,0,4.4,4401,17,"Chicken Boneless Biryani, Hyderabadi Biryani, Paneer Biryani, Tandoori Chicken, Vegetable Biryani, Chicken Kebab, Raita",600.0
54,"304, Opposite Apollo Public School, 100 Feet Ring Road, 4th Phase, 7th Block, Banashankari 3rd Stage, Bangalore,",Nandhini Deluxe,0,0,2.6,283,17,"Biryani, Chicken Guntur, Thali, Buttermilk, Manchurian",600.0
55,"3828, Near Deve Gowda Petrol Bunk, 30th Cross, 3rd Stage, Banashankari, Bangalore",Vi Ra's Bar and Restaurant,0,0,3.3,62,4,Chilli Chicken,800.0
56,"24/1, 23rd Cross, 6th Main Road, Opposite Kaveri Grameena Bank, 2nd Stage, Banashankari, Bangalore",Chatar Patar,0,0,3.7,65,53,"Panipuri, Chaat, Noodles, Dahi Bhalle",300.0
57,"96, Opposite Jain Collage, Basavanagudi, Bangalore",Polar Bear,1,0,3.8,71,26,Hot Chocolate Fudge,400.0
58,"2465, 3rd Floor, Opposite BDA Complex, 24th Cross, Banashankari, Bangalore",Kidambi's Kitchen,0,0,3.5,52,53,Rooftop Ambience,300.0
59,"295/A, 7th Main road, 7th Block, 3rd Stage, Banashankari, Bangalore",Mane Thindi,0,0,3.7,130,53,"Coffee, Tea, Kesari Bath, Open Dosa, Vada, Idli, Bread Dosa",200.0
60,"415, 1st C Cross, Banashankari 3rd Stage, 5th Block, Bangalore, Banashankari, Bangalore",Floured-Baked With Love,0,0,3.8,45,63,"Cup Cake, Chocolate Cake",400.0
61,"4001/4002, Annapoorneshwari Plaza, Near Seetha Circle, Hosakerehalli Cross, Banashankari, Bangalore",Bengaluru Coffee House,1,0,4.1,201,53,"Masala Dosa, Tirupathi Pongal, Filter Coffee, Vada, Kharabath, Kali Dosa, Rava Idli",300.0
62,"21, 80 Feet Road, 3rd Phase, 4th Block, 3rd Stage, Banashankari, Bangalore",Anna Kuteera,1,0,4.0,771,17,"Panner Tikka, Kulfi, Coffee, Pav Bhaji, Carrot Halwa, Fried Rice, Set Dosa",450.0
63,"1, Near BDA Complex, 24th Main, 2nd Stage, Banashankari, Bangalore",Darbar,0,0,3.0,98,4,"Paneer Tikka, Dal Kichadi, French Fries",800.0
64,"155, 43rd Cross Road, 8th Block, Jayanagar, Bangalore",Sri Udupi Food Hub,1,1,4.1,175,17,"Filter Coffee, Masala Dosa, Idli, Vada",500.0
65,"39/1, R.V Road, Opposite Vijaya College, Basavanagudi, Bangalore",House Of Kebabs,1,0,3.8,540,17,"Rolls, Shawarma, Butter Chicken, Mutton Biryani, Lahori Chicken, Chicken Roll, Grape Juice",650.0
66,"608, 21st Cross, Kumaraswamy Layout, Bangalore",Roll N Rock,1,0,3.8,124,53,"Rolls, Paratha, Chicken Biryani",400.0
67,"100 Feet Ring Road, 2nd Phase, Banashankari, Bangalore",BOX8- Desi Meals,1,0,4.1,340,63,"Paratha, Mughlai Chicken, Masala Lemonade, Butter Chicken, Rajma, Sandwich, Salad",500.0
68,"1, 80 Feet Road, 6th Block, 3rd Stage, Banashankari, Bangalore",KFC,1,0,3.8,505,53,"Burgers, French Fries",450.0
69,"1A/29 , Shop 2 , 27th Cross, Jayanagar, Bangalore",Roll Over,1,0,4.1,438,26,"Rolls, Ice Cream Roll, Paan Ice Cream, Coffee, Vanilla Ice Cream, Chocolate Icecreams, Mississippi Mudpie",500.0
70,"153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore",Imperial Restaurant,1,0,3.7,264,17,"Kadhai Paneer, Ghee Rice, Chicken Grill, Shawarma, Paratha, Biryani, Butter Chicken",750.0
71,"28/29, 9th Main Road, 3rd Block, Jayanagar, Bangalore",Wahab,1,0,3.7,97,53,"Chicken Biryani, Rolls",350.0
72,"28-29, 3rd Block, 9th Main Road, Jayanagar, Bangalore",Canton,1,0,3.6,195,17,"Roast Pork, Tai Pai Chicken, Beer, Sweet Corn Chicken Soup, Masala Peanuts, Chinese Chop Suey, Chicken Lollipop",800.0
73,"615/1, Ground Floor, Janardhan Mansion, 10th C Main, 32nd D Cross, 4th Block, Jayanagar, Bangalore",The Blue Wagon - Kitchen,1,0,4.6,228,11,"Pizza, Nachos, Garlic Maggi, Burgers, Cheese Maggi, Bruschetta Bites, Sandwich",400.0
74,"805, Ground Floor, 35C Cross, 9th Main, 4th Block, Jayanagar, Bangalore",Patio 805,1,1,4.1,364,17,"Noodles, Laksa Soup, Coffee, Veg Fritters, Vegetarian, Babycorn Manchurian, Mango Salad",1200.0
75,"1304, Kathriguppe Main Road, Ashok Nagar, NR Colony, Basavanagudi, Bangalore",Lassi Corner,1,0,3.7,107,7,Lassi,150.0
76,"1761, Near Swathi Nursing Home, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",Sagar Deluxe,1,0,3.2,167,53,"Coffee, Chaat",300.0
77,"Rashtriya Vidyalaya Road, Basavanagudi, Bangalore",Energy Addaa,1,0,4.2,64,53,"Pizza, Nachos, Salads, Peri Peri Fries, Brownie, Pasta Alfredo, Spaghetti",500.0
78,"34, 22nd Main, 22nd Cross, Opposite BDA, 2nd Stage, Banashankari, Bangalore",Tandoori Knight,1,0,3.0,290,53,"Chicken Grill, Biryani, Roti, Chicken Masala",450.0
79,"11/2, Old Market, V V Puram, Basavanagudi, Bangalore",Dev Sagar - Food Street,1,0,4.1,233,53,"Chaat, Pav Bhaji, Dabeli, Vada Pav, Tawa Pulav, Panipuri, Malpua",200.0
80,"1779, 14th Main, Kumaraswamy Layout, Bangalore",Mitraa Da Pizza,1,0,3.8,115,53,"Pizza, Burgers",250.0
81,"2, Old 36, 8th F Main, 3rd Block, Jayanagar, Bangalore",Grazers,1,1,3.9,291,11,"Burgers, Panneer Butter Masala, Pasta, Hot Dog, Fries, Cheesy Pizza, Potato Wedges",650.0
82,"766/25-01, 47th A Cross, Near Sangam Circle, Adarsh Gardens Apartments Road, 8th Block, Jayanagar, Bangalore",Shakes Theory,1,0,4.5,155,7,"Sandwiches, Thick Shakes, Paan Shake, Brownie Bomb, Fries, Spinach Corn Sandwich, Paneer Peri Peri",300.0
83,"1766, 14th Main, 1st Stage, Kumaraswamy Layout, Bangalore",@Italy,1,0,4.1,305,17,"Pizza, Pasta, Spinach Salsa, Garlic Bread, Lasagne, Bruschettas, Chocolate Bomb",700.0
84,"416, 24th Cross, 9th Main, 2nd Stage, Banashankari, Bangalore",Old Mumbai Ice Cream,1,0,3.9,38,26,Friendly Staff,150.0
85,"4009, 80 Feet Road, 4th Phase, Banashankari, Bangalore",Donne Biriyani House,1,0,3.9,441,53,Biryani,400.0
86,"6th C Main, 4th Block, Jayanagar, Bangalore",Kedia's Fun Food,1,0,4.3,630,53,"Paratha, Vada Pav, Chaat, Pav Bhaji, Panipuri, Masala Poori, Dhokla",200.0
87,"1424, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",Just Shawarma,1,0,3.9,160,53,"Whole Meat Shawarma, Fries",300.0
88,"7/1, Behind BMS College Hostel, Hanumantha Nagar, Banashankari, Bangalore",Mini Punjabi Dhaba,1,0,4.2,287,53,"Panneer Butter Masala, Lassi, Paratha, Jeera Rice, Paneer Parantha, Bhindi Fry, Veg Kolhapuri",350.0
89,"12,29 Near PES University Back Gate, D'Souza Nagar, Hosakerehalli, 3rd Stage, Banashankari, Bangalore",CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,1,0,4.1,402,11,"Waffles, Pasta, Crispy Chicken, Honey Chilli Chicken, Sandwich, Coffee, Crepe",500.0
90,"1st Floor, GR Plaza, DVG Road, Near Gandhi Bazaar circle, Basavanagudi, Bangalore",Gokul Veg,1,0,3.8,469,17,"Masala Papad, Paneer Satay, Vegetable Biryani, Panneer Butter Masala, Tomato Soup, Manchow Soup, Roti",750.0
91,"1763, Near Swathi Nursing Home, 14th Main Road, 1st Stage, Kumaraswamy Layout, Bangalore",Olive - Era,1,0,3.3,511,17,"Shawarma, Biryani, Bbq Chicken, Chicken Grill, Raita",550.0
92,"17, Ground Floor, Near Big Bazar, 100 Feet Ring Road, 3rd Stage, Banashankari, Bangalore",Gama Gama,1,0,3.9,264,53,"Jowar Roti, Buttermilk, Sabudana Vada, Thali, Mirchi Bajji, Brinjal Curry",200.0
93,"146, 50 ft Road, 3rd Phase, 3rd Stage, Near Katriguppe Water Tank Circle, Banashankari, Bangalore",The Vintage Cafe,1,0,3.0,62,11,"Burgers, Caramel Milkshake, Iced Coffee, Iced Tea",400.0
94,"2469, 21st Cross, Near BDA Complex, 2nd Stage, Banashankari, Bangalore",Pizza Hut,1,0,3.8,693,17,"Supreme Pizza, Potato Wedges, Masala Lemonade, Tandoori Paneer, Exotic Garlic Bread",750.0
95,"197/F, 8th B Main, 27th Cross, 3rd Block, Jayanagar, Bangalore",Mangalore Pearl,1,0,3.8,242,17,"Neer Dosa, Sea Food, Ghee Rice, Marwai Sukka, Egg Biryani, Kori Roti, Thai Fish",650.0
96,"97, Opposite Jain College, Kavi Lakshmisha Road, VV Puram, Basavanagudi, Bangalore",Twiststick House,1,0,4.1,163,53,"White Pasta, Noodles, Babycorn Manchurian, Pizza, Veg Momos, Fry Momos, Tawa Pulav",500.0
97,"1/4, Nisha Complex, KR Road, Near National College, Basavanagudi, Bangalore",Cool Corner,1,0,4.2,191,53,"Masala Dosa, Sandwiches, Coffee, Onion Dosa, Rava Dosa, Chaat, Sandwich",250.0
98,"9/63, 1st C Main Road, Kathreguppe, Vivekananda Nagar, Banashankri, Bangalore",Pizza Mane,1,0,3.5,32,53,"French Fries, Burgers",150.0
99,"1, Kathriguppe Main Road, 3rd Stage, Banashankari, Bangalore",Dal Tadkaa,1,0,2.5,247,17,"Paratha, Boondi Raita, Roti, Kulfi, Panneer Butter Masala, Sweet Lassi, Dal Tadka",500.0
100,"Cosmopolitan Club, 22nd Cross, 3rd Block, Jayanagar, Bangalore",Chutney Chang,1,1,4.1,2339,17,"Veg Momos, Brownie Chocolate, Palak Chaat, Mutton Biryani, Dahipuri, Fish, Sea Food",1500.0
101,"615/1, 10th C Main,32nd Cross Road ,Janardhan Mansion, 4th Block, Jayanagar, Bangalore",Mystique Palate,1,0,4.1,337,53,"Noodles, Pasta, Schezwan Momos, Chicken Momo, Teriyaki Chicken, Thukpa, Fries",300.0
102,"1112, Next KIMS Medical College, 17th Cross, 2nd Stage, Banashankari, Bangalore",Thamboola,1,0,3.9,135,17,"Spring Roll, Manchow Soup, Babycorn Manchurian, Mint Cooler, Roti, Panneer Butter Masala",800.0
103,"1/2, Opposite Indian Oil Petrol Bunk, 1st Cross, Kaderanhalli Crossroad, Subramanyapura Main Road, Padmanabhanagar, Uttarahalli, Bangalore",Castle Rock,1,0,3.6,172,17,Biryani,700.0
104,"Pavanashree Nilayam, 7 Block, Banagirinagara, Banashankari, Bangalore",Vietnamese Kitchen,1,0,3.6,105,17,"Pho, Papaya Salad, Coffee, Veg Momos, Rolls",700.0
105,"2470, 21 Main Road, 25th Cross, Banashankari, Bangalore",Smacznego,1,0,4.2,504,11,"Waffles, Pasta, Coleslaw Sandwich, Choco Waffle, Tacos, Momos, Cheese Nachos",550.0
106,"359/38,Next to Fabindia, 7th Cross, 1st Block, Jayanagar, Bangalore",Toscano,1,1,4.3,1129,17,"Pizza, Pasta, Salads, Calamari, Ravioli, Pumpkin Soup, Wine",1300.0
107,"415, 9th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",Stoned Monkey,1,0,4.3,860,26,"Nachos, Cup Cake, Hot Chocolate Fudge, Salsa, Cheesy Garlic Bread, Waffles, Tiramisu",500.0
108,"433/30/1, 28th Cross, 10th Main, Opposite BDA Complex, 4th Block, Jayanagar, Bangalore",Central Jail Restaurant,1,0,3.8,412,17,"Lime Soda, Manchow Soup, Biryani, Lemon Chicken, Tomato Soup, Butter Naan, Chilli Chicken",700.0
109,"382/71/4, 11th Main, 3rd Block, Jayanagar, Bangalore",Bella,1,1,3.9,142,17,"Murgh Ghee Roast, Fish Fry, Ghee Roast Paneer, Neer Dosa, Appam, Sea Food, Chicken Sukha",1000.0
110,"2nd Floor, Garla Garnet, 9th Main, 4th Block, Jayanagar, Bangalore",New Prashanth Hotel,1,0,3.6,143,17,"Ragi Mudde, Lemon Chicken, Chilli Chicken, Chicken Curry, Mutton Chops, Mutton Biryani",750.0
111,"81, 36th Cross Road, 5th Block, Jayanagar, Bangalore",Karma Kaapi,1,0,4.4,181,7,"Pasta, Potato Fries, Potato Wedges, Hot Chocolate, Chaat, Filter Coffee, Americano",250.0
112,"616/2, 31st Cross, 10th A Main Road, 4th block, Jayanagar, Bangalore",Tiwari's,1,0,3.8,70,53,"Sweet Lassi, Gulab Jamun, Palak Paneer Paratha, Paneer Parantha",200.0
113,"66/1, Kanakpura Road, Basavanagudi, Bangalore",Pizza Stop,1,0,3.8,164,53,"Pizza, White Sauce Pasta, Masala Garlic Bread",600.0
114,"173, DSI college Road, Kumaraswamy Layout, Bangalore",Biggies Burger 'n' More,1,0,3.6,58,53,"Burgers, Fries, Mojito, Chicken Burger",650.0
115,"112, Bull Temple Road,next to more Basavanagudi, Bangalore",Srinathji's Cafe,0,0,3.8,148,19,"Paratha, Sandwich, Chilli Idli, Noodles, Sandwiches, Lime Soda",550.0
116,"1, Corporation Market, Gandhi Bazar, Basavanagudi, Bangalore",Kollapuri's,0,0,3.9,206,53,"Chicken Biryani, Mutton Biryani, Egg Biryani, Chicken Fry, Mutton Fry",450.0
117,"5, Mallariah Complex, Near Corporation Bank, Gandhi Nagar, Basavanagudi, Bangalore",RS Shiv Sagar,0,0,3.7,217,17,"Chaat, Brownie, Onion Rings, Tomato Soup, Paneer Manchurian, Thali, Faluda",450.0
118,"60/1, East Anjaneya Temple Road, Basavanagudi, Bangalore",Harshi Super Sandwich,0,0,3.8,148,53,"Sandwiches, Chocolate Sandwich, Chaat, Veg Cheese Sandwich, Chilli Cheese, Corn Sandwich",150.0
119,"609, 10th A Main Road, 4th Block, Jayanagar, Bangalore",Ugadi,1,0,2.9,177,17,"Prawn Biryani, Andhra Meal, Veg Thali, Fry Piece Biryani, Gongura Chicken, Paratha",700.0
120,"186, 16th Main, 24th Cross, 2nd Stage, Banashankari, Bangalore",Subway,1,0,3.7,136,53,"Veggie Delight, Paneer Tikka, Salad",600.0
121,"22nd Cross, New Diagonal Road, Opposite N MKRV Womens College, 3rd Block, Jayanagar, Bangalore",The Lassi Park,1,0,4.1,185,53,"Faluda, Brownie, Sandwich, Kulfi, Fruit Salad, Sweet Lassi, Chocolate Fudge",200.0
122,"153, Satellite Bus Stand, Byataranyapura, Mysore Road, Bangalore",A2B - Adyar Ananda Bhavan,1,0,3.8,155,17,"Pav Bhaji, Masala Dosa, Idli Vada, Filter Coffee, Pongal, Curd Rice, Kesari Bath",400.0
123,"Next To BMTC Bus Stand, Banashankari, Bangalore",Srikrishna Bhavan,1,0,3.8,42,53,"Roti, Masala Dosa",300.0
124,"37, 5-1, 4th Floor, Bosco Court, Gandhi Bazaar Main Road, Basavanagudi, Bangalore",Timepass Dinner,1,0,3.8,286,17,"Onion Rings, Pasta, Kadhai Paneer, Salads, Salad, Roti, Jeera Rice",600.0
125,"376, 1st Floor, Tripura Arcade, MK Puttalingaiah Road, Above SBI Bank, Banashankari, Bangalore",Green Gardenia,1,0,3.8,160,17,"Masala Papad, Paneer Satay, Paneer Hyderabadi, Butter Naan, Roti",700.0
